"geo","outgoingR","ACC","REF","outgoingT"
"DE",151218,102726,32547,20285
"CH",72568,47393,18073,21934
"SE",50202,33383,10454,11910
"AT",43689,33901,8019,8343
"FR",43092,28189,9003,4618
"BE",28241,19315,6042,6369
"NO",22058,12886,7320,6547
"NL",19454,16755,3928,5959
"IT",16365,2009,6866,162
"UK",13770,9888,2489,4302
"DK",10385,8700,1616,1521
"FI",8087,6198,1946,0
"EL",4777,3177,1584,2652
"HU",3511,1647,606,585
"IE",2094,1680,307,719
"LU",2023,1556,392,988
"others",6992,NA,2244,2118
