"citizen","geo","time","values"
"AM","BE",2015-12-31,275
"AM","BG",2015-12-31,15
"AM","CH",2015-12-31,50
"AM","CY",2015-12-31,5
"AM","CZ",2015-12-31,45
"AM","DE",2015-12-31,2160
"AM","DK",2015-12-31,40
"AM","EE",2015-12-31,10
"AM","EL",2015-12-31,30
"AM","ES",2015-12-31,35
"AM","EU28",2015-12-31,5245
"AM","FI",2015-12-31,5
"AM","FR",2015-12-31,1635
"AM","HR",2015-12-31,0
"AM","HU",2015-12-31,5
"AM","IE",2015-12-31,0
"AM","IS",2015-12-31,0
"AM","IT",2015-12-31,40
"AM","LI",2015-12-31,0
"AM","LT",2015-12-31,5
"AM","LU",2015-12-31,0
"AM","LV",2015-12-31,0
"AM","MT",2015-12-31,0
"AM","NL",2015-12-31,115
"AM","NO",2015-12-31,20
"AM","PL",2015-12-31,195
"AM","PT",2015-12-31,0
"AM","RO",2015-12-31,0
"AM","SE",2015-12-31,295
"AM","SI",2015-12-31,0
"AM","SK",2015-12-31,5
"AM","TOTAL",2015-12-31,5315
"AM","UK",2015-12-31,30
"AO","AT",2015-12-31,5
"AO","BE",2015-12-31,90
"AO","BG",2015-12-31,0
"AO","CH",2015-12-31,40
"AO","CY",2015-12-31,0
"AO","CZ",2015-12-31,0
"AO","DE",2015-12-31,55
"AO","DK",2015-12-31,0
"AO","EE",2015-12-31,0
"AO","EL",2015-12-31,0
"AO","ES",2015-12-31,10
"AO","EU28",2015-12-31,815
"AO","FI",2015-12-31,15
"AO","FR",2015-12-31,505
"AO","HR",2015-12-31,0
"AO","HU",2015-12-31,5
"AO","IE",2015-12-31,5
"AO","IS",2015-12-31,0
"AO","IT",2015-12-31,0
"AO","LI",2015-12-31,0
"AO","LT",2015-12-31,0
"AO","LU",2015-12-31,0
"AO","LV",2015-12-31,0
"AO","MT",2015-12-31,0
"AO","NL",2015-12-31,15
"AO","NO",2015-12-31,5
"AO","PL",2015-12-31,0
"AO","PT",2015-12-31,20
"AO","RO",2015-12-31,0
"AO","SE",2015-12-31,20
"AO","SI",2015-12-31,0
"AO","SK",2015-12-31,0
"AO","TOTAL",2015-12-31,855
"AO","UK",2015-12-31,70
"AR","AT",2015-12-31,0
"AR","BE",2015-12-31,0
"AR","BG",2015-12-31,0
"AR","CH",2015-12-31,0
"AR","CY",2015-12-31,0
"AR","CZ",2015-12-31,0
"AR","DE",2015-12-31,5
"AR","DK",2015-12-31,0
"AR","EE",2015-12-31,0
"AR","EL",2015-12-31,0
"AR","ES",2015-12-31,0
"AR","EU28",2015-12-31,15
"AR","FI",2015-12-31,0
"AR","FR",2015-12-31,0
"AR","HR",2015-12-31,0
"AR","HU",2015-12-31,0
"AR","IE",2015-12-31,0
"AR","IS",2015-12-31,0
"AR","IT",2015-12-31,0
"AR","LI",2015-12-31,0
"AR","LT",2015-12-31,0
"AR","LU",2015-12-31,0
"AR","LV",2015-12-31,0
"AR","MT",2015-12-31,0
"AR","NL",2015-12-31,0
"AR","NO",2015-12-31,0
"AR","PL",2015-12-31,0
"AR","PT",2015-12-31,0
"AR","RO",2015-12-31,0
"AR","SE",2015-12-31,10
"AR","SI",2015-12-31,0
"AR","SK",2015-12-31,0
"AR","TOTAL",2015-12-31,15
"AR","UK",2015-12-31,0
"AT","AT",2015-12-31,0
"AT","BE",2015-12-31,0
"AT","BG",2015-12-31,0
"AT","CH",2015-12-31,0
"AT","CY",2015-12-31,0
"AT","CZ",2015-12-31,0
"AT","DE",2015-12-31,0
"AT","DK",2015-12-31,0
"AT","EE",2015-12-31,0
"AT","EL",2015-12-31,0
"AT","ES",2015-12-31,0
"AT","EU28",2015-12-31,0
"AT","FI",2015-12-31,0
"AT","HR",2015-12-31,0
"AT","HU",2015-12-31,0
"AT","IE",2015-12-31,0
"AT","IS",2015-12-31,0
"AT","IT",2015-12-31,0
"AT","LI",2015-12-31,0
"AT","LT",2015-12-31,0
"AT","LU",2015-12-31,0
"AT","LV",2015-12-31,0
"AT","MT",2015-12-31,0
"AT","NL",2015-12-31,0
"AT","NO",2015-12-31,0
"AT","PL",2015-12-31,0
"AT","PT",2015-12-31,0
"AT","RO",2015-12-31,0
"AT","SE",2015-12-31,0
"AT","SI",2015-12-31,0
"AT","SK",2015-12-31,0
"AT","TOTAL",2015-12-31,0
"AT","UK",2015-12-31,0
"AU","AT",2015-12-31,0
"AU","BE",2015-12-31,0
"AU","BG",2015-12-31,0
"AU","CH",2015-12-31,0
"AU","CY",2015-12-31,0
"AU","CZ",2015-12-31,0
"AU","DE",2015-12-31,0
"AU","DK",2015-12-31,0
"AU","EE",2015-12-31,0
"AU","EL",2015-12-31,0
"AU","ES",2015-12-31,0
"AU","EU28",2015-12-31,5
"AU","FI",2015-12-31,0
"AU","FR",2015-12-31,0
"AU","HR",2015-12-31,0
"AU","HU",2015-12-31,0
"AU","IE",2015-12-31,0
"AU","IS",2015-12-31,0
"AU","IT",2015-12-31,0
"AU","LI",2015-12-31,0
"AU","LT",2015-12-31,0
"AU","LU",2015-12-31,0
"AU","LV",2015-12-31,0
"AU","MT",2015-12-31,0
"AU","NL",2015-12-31,0
"AU","NO",2015-12-31,0
"AU","PL",2015-12-31,0
"AU","PT",2015-12-31,0
"AU","RO",2015-12-31,0
"AU","SE",2015-12-31,0
"AU","SI",2015-12-31,0
"AU","SK",2015-12-31,0
"AU","TOTAL",2015-12-31,5
"AU","UK",2015-12-31,5
"AZ","AT",2015-12-31,55
"AZ","BE",2015-12-31,55
"AZ","BG",2015-12-31,0
"AZ","CH",2015-12-31,35
"AZ","CY",2015-12-31,0
"AZ","CZ",2015-12-31,5
"AZ","DE",2015-12-31,1495
"AZ","DK",2015-12-31,20
"AZ","EE",2015-12-31,0
"AZ","EL",2015-12-31,5
"AZ","ES",2015-12-31,5
"AZ","EU28",2015-12-31,2755
"AZ","FI",2015-12-31,30
"AZ","FR",2015-12-31,490
"AZ","HR",2015-12-31,5
"AZ","HU",2015-12-31,5
"AZ","IE",2015-12-31,0
"AZ","IS",2015-12-31,0
"AZ","IT",2015-12-31,10
"AZ","LI",2015-12-31,0
"AZ","LT",2015-12-31,15
"AZ","LU",2015-12-31,5
"AZ","LV",2015-12-31,5
"AZ","MT",2015-12-31,0
"AZ","NL",2015-12-31,65
"AZ","NO",2015-12-31,35
"AZ","PL",2015-12-31,15
"AZ","PT",2015-12-31,0
"AZ","RO",2015-12-31,0
"AZ","SE",2015-12-31,440
"AZ","SI",2015-12-31,0
"AZ","SK",2015-12-31,0
"AZ","TOTAL",2015-12-31,2830
"AZ","UK",2015-12-31,30
"BA","AT",2015-12-31,45
"BA","BE",2015-12-31,60
"BA","BG",2015-12-31,0
"BA","CH",2015-12-31,115
"BA","CY",2015-12-31,0
"BA","CZ",2015-12-31,0
"BA","DE",2015-12-31,7475
"BA","DK",2015-12-31,30
"BA","EE",2015-12-31,0
"BA","EL",2015-12-31,0
"BA","ES",2015-12-31,5
"BA","EU28",2015-12-31,8935
"BA","FI",2015-12-31,25
"BA","FR",2015-12-31,400
"BA","HR",2015-12-31,5
"BA","HU",2015-12-31,10
"BA","IE",2015-12-31,0
"BA","IS",2015-12-31,0
"BA","IT",2015-12-31,135
"BA","LI",2015-12-31,0
"BA","LT",2015-12-31,0
"BA","LU",2015-12-31,75
"BA","LV",2015-12-31,0
"BA","MT",2015-12-31,0
"BA","NL",2015-12-31,125
"BA","NO",2015-12-31,50
"BA","PL",2015-12-31,0
"BA","PT",2015-12-31,0
"BA","RO",2015-12-31,0
"BA","SE",2015-12-31,540
"BA","SI",2015-12-31,5
"BA","SK",2015-12-31,0
"BA","TOTAL",2015-12-31,9100
"BA","UK",2015-12-31,5
"BB","AT",2015-12-31,0
"BB","BE",2015-12-31,0
"BB","BG",2015-12-31,0
"BB","CH",2015-12-31,0
"BB","CY",2015-12-31,0
"BB","CZ",2015-12-31,0
"BB","DE",2015-12-31,0
"BB","DK",2015-12-31,0
"BB","EE",2015-12-31,0
"BB","EL",2015-12-31,0
"BB","ES",2015-12-31,0
"BB","EU28",2015-12-31,5
"BB","FI",2015-12-31,0
"BB","FR",2015-12-31,0
"BB","HR",2015-12-31,0
"BB","HU",2015-12-31,0
"BB","IE",2015-12-31,0
"BB","IS",2015-12-31,0
"BB","IT",2015-12-31,0
"BB","LI",2015-12-31,0
"BB","LT",2015-12-31,0
"BB","LU",2015-12-31,0
"BB","LV",2015-12-31,0
"BB","MT",2015-12-31,0
"BB","NL",2015-12-31,0
"BB","NO",2015-12-31,0
"BB","PL",2015-12-31,0
"BB","PT",2015-12-31,0
"BB","RO",2015-12-31,0
"BB","SE",2015-12-31,0
"BB","SI",2015-12-31,0
"BB","SK",2015-12-31,0
"BB","TOTAL",2015-12-31,5
"BB","UK",2015-12-31,5
"BD","AT",2015-12-31,710
"BD","BE",2015-12-31,125
"BD","BG",2015-12-31,40
"BD","CH",2015-12-31,75
"BD","CY",2015-12-31,50
"BD","CZ",2015-12-31,0
"BD","DE",2015-12-31,840
"BD","DK",2015-12-31,60
"BD","EE",2015-12-31,0
"BD","EL",2015-12-31,740
"BD","ES",2015-12-31,45
"BD","EU28",2015-12-31,18865
"BD","FI",2015-12-31,95
"BD","FR",2015-12-31,4020
"BD","HR",2015-12-31,5
"BD","HU",2015-12-31,4060
"BD","IE",2015-12-31,285
"BD","IS",2015-12-31,0
"BD","IT",2015-12-31,6030
"BD","LI",2015-12-31,0
"BD","LT",2015-12-31,0
"BD","LU",2015-12-31,0
"BD","LV",2015-12-31,0
"BD","MT",2015-12-31,5
"BD","NL",2015-12-31,35
"BD","NO",2015-12-31,180
"BD","PL",2015-12-31,10
"BD","PT",2015-12-31,5
"BD","RO",2015-12-31,20
"BD","SE",2015-12-31,345
"BD","SI",2015-12-31,0
"BD","SK",2015-12-31,5
"BD","TOTAL",2015-12-31,19125
"BD","UK",2015-12-31,1340
"BE","AT",2015-12-31,0
"BE","BE",2015-12-31,0
"BE","BG",2015-12-31,0
"BE","CH",2015-12-31,0
"BE","CY",2015-12-31,0
"BE","CZ",2015-12-31,0
"BE","DE",2015-12-31,5
"BE","DK",2015-12-31,0
"BE","EE",2015-12-31,0
"BE","EL",2015-12-31,0
"BE","ES",2015-12-31,0
"BE","EU28",2015-12-31,10
"BE","FI",2015-12-31,0
"BE","HR",2015-12-31,0
"BE","HU",2015-12-31,0
"BE","IE",2015-12-31,0
"BE","IS",2015-12-31,0
"BE","IT",2015-12-31,0
"BE","LI",2015-12-31,0
"BE","LT",2015-12-31,0
"BE","LU",2015-12-31,0
"BE","LV",2015-12-31,0
"BE","MT",2015-12-31,0
"BE","NL",2015-12-31,0
"BE","NO",2015-12-31,0
"BE","PL",2015-12-31,0
"BE","PT",2015-12-31,0
"BE","RO",2015-12-31,0
"BE","SE",2015-12-31,0
"BE","SI",2015-12-31,0
"BE","SK",2015-12-31,0
"BE","TOTAL",2015-12-31,10
"BE","UK",2015-12-31,5
"BF","AT",2015-12-31,10
"BF","BE",2015-12-31,55
"BF","BG",2015-12-31,0
"BF","CH",2015-12-31,20
"BF","CY",2015-12-31,0
"BF","CZ",2015-12-31,0
"BF","DE",2015-12-31,220
"BF","DK",2015-12-31,0
"BF","EE",2015-12-31,0
"BF","EL",2015-12-31,15
"BF","ES",2015-12-31,5
"BF","EU28",2015-12-31,910
"BF","FI",2015-12-31,0
"BF","FR",2015-12-31,125
"BF","HR",2015-12-31,0
"BF","HU",2015-12-31,50
"BF","IE",2015-12-31,0
